Recall,Precision,F1 score,Validation Critic,Anomaly Critic,Val-Anom critic,Critic cost,Critic cost gp,Mean critic cost,Evaluation time,TP,FP,TN,FN
0.734375,0.734375,0.734375,-16.7277793884277,-17.3821983337402,-0.6544189453125,-0.624717712402344,-0.594149589538574,-16.7277793884277,1.60474300384521,47,17,47,17
0.921875,0.921875,0.921875,-16.9550361633301,-18.884838104248,-1.92980194091797,-0.752443313598633,-0.610466241836548,-16.9550361633301,1.56557893753052,59,5,59,5
0.765625,0.765625,0.765625,-18.6075744628906,-19.5906524658203,-0.983078002929688,-0.684482574462891,-0.629382967948914,-18.6075744628906,1.77438497543335,49,15,49,15
0.875,0.875,0.875,-14.4698505401611,-15.7545757293701,-1.28472518920898,-0.638419151306152,-0.527804672718048,-14.4698505401611,1.61734509468079,56,8,56,8
0.875,0.875,0.875,-17.275899887085,-18.6917629241943,-1.41586303710938,-0.638629913330078,-0.58951997756958,-17.275899887085,1.61598181724548,56,8,56,8
0.671875,0.671875,0.671875,-16.1854858398438,-16.700532913208,-0.515047073364258,-0.429658889770508,-0.394425511360168,-16.1854858398438,1.58625507354736,43,21,43,21
0.796875,0.796875,0.796875,-16.4096832275391,-17.3849411010742,-0.975257873535156,-0.530778884887695,-0.496456831693649,-16.4096832275391,1.59636998176575,51,13,51,13
0.53125,0.53125,0.53125,-16.3478698730469,-16.4254169464111,-0.077547073364258,-0.534834861755371,-0.440641224384308,-16.3478698730469,1.7561309337616,34,30,34,30
0.703125,0.703125,0.703125,-16.5324935913086,-17.0999565124512,-0.567462921142578,-0.552373886108398,-0.429009407758713,-16.5324935913086,1.60266494750977,45,19,45,19
0.984375,0.984375,0.984375,-13.7228002548218,-15.6984758377075,-1.97567558288574,-0.508462905883789,-0.438858419656754,-13.7228002548218,1.55600595474243,63,1,63,1
0.5625,0.5625,0.5625,-13.4401416778564,-13.6796131134033,-0.239471435546875,-0.56944465637207,-0.542804479598999,-13.4401416778564,1.58866810798645,36,28,36,28
0.578125,0.578125,0.578125,-13.418285369873,-13.5651226043701,-0.14683723449707,-0.576740264892578,-0.480901837348938,-13.418285369873,1.56987905502319,37,27,37,27
0.578125,0.578125,0.578125,-15.2329082489014,-15.336727142334,-0.103818893432617,-0.665584564208984,-0.637458443641663,-15.2329082489014,1.74688100814819,37,27,37,27
0.640625,0.640625,0.640625,-16.1355075836182,-16.4225597381592,-0.287052154541016,-0.725707054138184,-0.619871616363525,-16.1355075836182,1.58562684059143,41,23,41,23
0.53125,0.53125,0.53125,-15.5026121139526,-15.6797504425049,-0.177138328552246,-0.633177757263184,-0.590422511100769,-15.5026121139526,1.56668591499329,34,30,34,30
0.84375,0.84375,0.84375,-14.219651222229,-15.2546997070313,-1.03504848480225,-0.414849281311035,-0.348204553127289,-14.219651222229,1.5962119102478,54,10,54,10
0.96875,0.96875,0.96875,-15.5792713165283,-17.3584861755371,-1.77921485900879,-0.563318252563477,-0.529429495334625,-15.5792713165283,1.56489777565002,62,2,62,2
0.984375,0.984375,0.984375,-13.5348606109619,-15.9749622344971,-2.44010162353516,-0.668083190917969,-0.605200529098511,-13.5348606109619,1.61044502258301,63,1,63,1
0.59375,0.59375,0.59375,-12.1744785308838,-12.4440031051636,-0.269524574279785,-0.635645866394043,-0.559782862663269,-12.1744785308838,1.5611310005188,38,26,38,26
0.765625,0.765625,0.765625,-9.48106575012207,-10.1139287948608,-0.63286304473877,-0.382463455200195,-0.280756592750549,-9.48106575012207,1.59809994697571,49,15,49,15
